Gene_acc,Gene_id,logFC,log_AveExpr,FDR,Desc,WT_1,WT_2,WT_3,MUT_1,MUT_2,MUT_3
0,GFP.BLA,-12.208072,4.224806296031958,0.7744581228127693,GFP.BLA,0.0,0.0,0.0,38023.42578125,23545.29296875,22325.283203125
1,Tb05.5K5.100:mRNA-p1;Tb927.5.4450:mRNA-p1,0.978221,4.756205409896725,0.1341028148316226,"hypothetical protein, conserved;hypothetical protein, conserved",76605.171875,81391.8671875,90829.09375,60986.0703125,48804.94921875,97720.359375
2,Tb05.5K5.110:mRNA-p1;Tb927.5.4460:mRNA-p1,-2.32612,4.436654237215514,0.2684112348132613,"major vault protein, putative;major vault protein, putative",33474.3828125,29259.98046875,36431.66015625,43252.8984375,35355.69921875,40863.67578125
3,Tb05.5K5.120:mRNA-p1;Tb927.5.4470:mRNA-p1,0.699466,5.044631405799905,0.09585270827570704,"hypothetical protein, conserved;hypothetical protein, conserved",134007.265625,173971.4375,168930.59375,129447.421875,146551.765625,133668.3125
4,Tb05.5K5.130:mRNA-p1;Tb927.5.4480:mRNA-p1,-1.779942,6.336840696557466,0.22865508630375195,"paraflagellar rod component par4, putative;paraflagellar rod component par4, putative",2565923.5,2853554.25,2688291.5,2925756.25,3310766.75,3030929.75
5,Tb05.5K5.150:mRNA-p1;Tb927.5.4500:mRNA-p1,-4.740547,5.464811107759989,0.4534449987857024,"small GTP-binding protein, putative;ras-like small GTPase, putative",263230.09375,325229.0,372967.4375,454718.15625,428703.90625,488067.0
6,Tb05.5K5.160:mRNA-p1;Tb927.5.4520:mRNA-p1,-6.341964,4.8960735465893315,0.5376918654283094,"hypothetical protein, conserved;Kinetochore interacting protein 1",110366.796875,88281.9765625,42827.44921875,119431.28125,151739.671875,117086.1171875
7,Tb05.5K5.200:mRNA-p1;Tb11.v5.0409.1-p1;Tb927.5.4560:mRNA-p1,17.521465,5.040039605854365,0.9100595815013652,"guanine deaminase, putative;Tb11.v5.0409.1-p1;guanine deaminase, putative",144692.203125,217640.84375,248227.015625,75674.6484375,141894.90625,49122.67578125
8,Tb05.5K5.220:mRNA-p1;Tb927.5.4580:mRNA-p1,0.400796,6.252149270595816,0.052257578006193794,hypothetical protein;Flagellum adhesion protein 3,2449753.25,2481410.0,2532225.0,2338694.0,2245895.5,2248823.25
9,Tb05.5K5.30:mRNA-p1;Tb927.5.4380:mRNA-p1,1.404154,5.791856850104875,0.1862189218259175,"serine/threonine protein phosphatase, putative;Kinetoplastid-specific Protein Phosphatase 1",872098.125,938265.0,938546.875,761014.625,713945.25,730013.8125
10,Tb05.5K5.40:mRNA-p1;Tb927.5.4390:mRNA-p1,2.612716,6.396604597067901,0.29582373523877387,"hypothetical protein, conserved;hypothetical protein, conserved",2866112.75,4927556.5,3809586.75,2568825.0,3271395.5,2495107.0
11,Tb05.5K5.50:mRNA-p1;Tb927.5.4400:mRNA-p1,1.994599,6.055550364935037,0.25123846270004396,"hypothetical protein, conserved;hypothetical protein, conserved",1618847.375,1889295.25,1649478.375,1232074.625,1320537.5,1381355.25
12,Tb05.5K5.60:mRNA-p1;Tb927.5.4410:mRNA-p1,5.121433,5.898694171562885,0.4724989890188798,"hypothetical protein, conserved;hypothetical protein, conserved",1275009.125,1317672.25,1194218.875,882452.3125,827191.0625,838992.0
